Date,Name,Year,Letterboxd URI,Rating
2022-01-08,Blades of Glory,2007,https://boxd.it/1Xrm,4
2022-01-08,Falling Down,1993,https://boxd.it/194M,3.5
2022-01-08,Guess Who's Coming to Dinner,1967,https://boxd.it/27Xi,4.5
2022-01-09,Billy Madison,1995,https://boxd.it/1UQI,2.5
2022-01-15,Big,1988,https://boxd.it/271S,4
2022-01-30,Big Hero 6,2014,https://boxd.it/5rje,4.5
2022-02-06,Action U.S.A.,1989,https://boxd.it/34X2,2.5
2022-02-06,Death Spa,1988,https://boxd.it/1pHq,2
2022-02-23,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,5
2022-04-21,The Pianist,2002,https://boxd.it/2aqc,4
2022-10-10,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,4.5
2022-12-16,The Menu,2022,https://boxd.it/lScm,4
2022-12-16,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-01-09,I Care a Lot,2020,https://boxd.it/mcHk,2.5
2023-01-09,Just Go with It,2011,https://boxd.it/Doq,3.5
2023-01-09,The Iron Giant,1999,https://boxd.it/1Wow,4.5
2023-01-09,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2023-01-09,Parasite,2019,https://boxd.it/hTha,5
2023-01-09,Whiplash,2014,https://boxd.it/7bQA,4
2023-01-09,Nope,2022,https://boxd.it/sDCe,3
2023-01-09,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2023-01-09,The Batman,2022,https://boxd.it/eDGs,4
2023-01-09,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2023-01-09,Dune,2021,https://boxd.it/fA7G,4
2023-01-09,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2023-01-09,Black Panther,2018,https://boxd.it/8MHs,3.5
2023-01-09,Her,2013,https://boxd.it/4O24,3.5
2023-01-09,Hereditary,2018,https://boxd.it/hNVe,4
2023-01-09,Shutter Island,2010,https://boxd.it/1U82,4
2023-01-09,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2.5
2023-01-09,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2023-01-09,Coco,2017,https://boxd.it/bYJQ,4
2023-01-09,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2023-01-09,Star Wars,1977,https://boxd.it/72s,4
2023-01-09,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2023-01-09,GoodFellas,1990,https://boxd.it/29FA,4
2023-01-09,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2023-01-09,It,2017,https://boxd.it/bC8e,4
2023-01-09,Dead Poets Society,1989,https://boxd.it/2aSg,4
2023-01-09,Avatar,2009,https://boxd.it/1Efm,3.5
2023-01-09,WALL·E,2008,https://boxd.it/1VEo,5
2023-01-09,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,4
2023-01-10,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,3
2023-01-10,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,4.5
2023-01-10,Monsters University,2013,https://boxd.it/bQm,4.5
2023-01-10,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/2TG0,3
2023-01-10,The Lobster,2015,https://boxd.it/7tnw,3
2023-01-11,About Time,2013,https://boxd.it/43bI,4.5
2023-01-13,Luca,2021,https://boxd.it/ipjC,3.5
2023-01-14,Mr. Bean's Holiday,2007,https://boxd.it/28Yc,4
2023-01-14,Stone Cold,1991,https://boxd.it/1C4G,2.5
2023-01-15,Dude Bro Party Massacre III,2015,https://boxd.it/9ofG,4
2023-01-16,Tower Heist,2011,https://boxd.it/iQI,2.5
2023-01-16,Lilo & Stitch,2002,https://boxd.it/1TAY,4.5
2023-01-19,Horton Hears a Who!,2008,https://boxd.it/1SfA,3
2023-01-19,Planes,2013,https://boxd.it/4Na2,3
2023-01-20,Kung Fu Panda,2008,https://boxd.it/1Yws,4.5
2023-01-26,The Whale,2022,https://boxd.it/tw4c,4
2023-01-26,The Hunger Games,2012,https://boxd.it/2uds,3
2023-01-27,Coach Carter,2005,https://boxd.it/218e,5
2023-01-31,The Intouchables,2011,https://boxd.it/2FT0,4
2023-01-31,The Bad Guys,2022,https://boxd.it/nkg4,3.5
2023-01-31,Meet the Robinsons,2007,https://boxd.it/28Ym,4.5
2023-02-01,27 Dresses,2008,https://boxd.it/21x4,3
2023-02-02,The Angry Birds Movie,2016,https://boxd.it/4PBu,2
2023-02-02,New Balls Please,2004,https://boxd.it/h07O,3
2023-02-05,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2023-02-06,Zootopia,2016,https://boxd.it/84xS,3.5
2023-02-09,Toy Story,1995,https://boxd.it/29qA,4.5
2023-02-09,Toy Story 2,1999,https://boxd.it/29qq,4
2023-02-09,Toy Story 3,2010,https://boxd.it/1WRe,5
2023-02-09,Toy Story 4,2019,https://boxd.it/9ALu,4
2023-02-10,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2023-02-14,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-02-17,Ron's Gone Wrong,2021,https://boxd.it/hlj2,2.5
2023-02-20,Ice Age,2002,https://boxd.it/2apS,3
2023-02-23,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,5
2023-02-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2023-02-23,Behind Enemy Lines,2001,https://boxd.it/20GY,3.5
2023-02-28,Ice Age: The Meltdown,2006,https://boxd.it/2wRk,2
2023-03-06,Inside Out,2015,https://boxd.it/4KHC,3.5
2023-03-09,Sharper,2023,https://boxd.it/qTXe,3
2023-03-09,Cocaine Bear,2023,https://boxd.it/ugw2,3.5
2023-03-09,Speed,1994,https://boxd.it/28qk,4.5
2023-03-10,Onward,2020,https://boxd.it/io92,4
2023-03-14,Finding Nemo,2003,https://boxd.it/72i,4
2023-03-16,Jumanji,1995,https://boxd.it/1ZLI,4
2023-03-17,Finding Dory,2016,https://boxd.it/4aAA,3.5
2023-03-24,Alvin and the Chipmunks,2007,https://boxd.it/21E0,1.5
2023-03-24,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,1
2023-03-30,Wreck-It Ralph,2012,https://boxd.it/2TTS,4
2023-03-31,Brave,2012,https://boxd.it/bVG,3.5
2023-04-03,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,3.5
2023-04-04,The Martian,2015,https://boxd.it/8SeG,4
2023-04-06,The Three Stooges,2012,https://boxd.it/2DFA,1.5
2023-04-08,The Room,2003,https://boxd.it/1ICY,0.5
2023-04-09,Schindler's List,1993,https://boxd.it/2aq2,4.5
2023-04-09,The Terminal,2004,https://boxd.it/2a2O,5
2023-04-09,Cars,2006,https://boxd.it/29ho,4.5
2023-04-09,Cars 2,2011,https://boxd.it/H4Y,4
2023-04-09,Cars 3,2017,https://boxd.it/7IPq,2.5
2023-04-09,Captain Phillips,2013,https://boxd.it/3GPK,4
2023-04-09,The Da Vinci Code,2006,https://boxd.it/2a3i,3
2023-04-09,You've Got Mail,1998,https://boxd.it/1Yye,3.5
2023-04-09,Greyhound,2020,https://boxd.it/iIaE,3
2023-04-09,Finch,2021,https://boxd.it/iXBq,4
2023-04-09,Turner & Hooch,1989,https://boxd.it/21ie,3
2023-04-09,Klaus,2019,https://boxd.it/ipoi,5
2023-04-13,The Parent Trap,1998,https://boxd.it/1XJq,4
2023-04-16,The Black Phone,2021,https://boxd.it/sqFE,3
2023-04-29,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-05-12,TRON: Legacy,2010,https://boxd.it/1Dlo,3.5
2023-05-22,Doctor Dolittle,1998,https://boxd.it/25RM,2
2023-05-23,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,3.5
2023-05-23,Airplane!,1980,https://boxd.it/29yu,4
2023-05-23,RV,2006,https://boxd.it/1YrW,4
2023-05-24,The Proposal,2009,https://boxd.it/1HiS,4.5
2023-05-24,Dr. Dolittle 2,2001,https://boxd.it/1Vlm,1.5
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-12,The Little Mermaid,1989,https://boxd.it/1WYO,3
2023-06-18,How to Train Your Dragon,2010,https://boxd.it/1WRy,4.5
2023-06-18,Escape Room,2019,https://boxd.it/iYlS,1.5
2023-06-22,Paul,2011,https://boxd.it/13uE,4
2023-06-22,We Bought a Zoo,2011,https://boxd.it/2AU8,4
2023-06-25,The Blackening,2022,https://boxd.it/C6VM,4.5
2023-06-25,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-06-26,The Truman Show,1998,https://boxd.it/18U8,4.5
2023-06-28,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,4
